Seller SKU ID,ISBN13,Title,Author,Publisher,Binding,Language,Book Subcategory,Main Image URL,Other Image URL 1,Other Image URL 2,Other Image URL 3,Other Image URL 4,Other Image URL 5,Other Image URL 6,Other Image URL 7,Other Image URL 8,Other Image URL 9,Other Image URL 10,Edition,Publication Year,Pages,Genre,Items Included,ISBN10,About Author,Description,Pack of,Genre New,Book Category
A Little Life ,9781447294825,A Little Life,Yanagihara Hanya,Pan Macmillan,Paperback,English,General Fiction Books,https://img.fkcdn.com/image/xif0q/book/0/k/p/a-little-life-original-imah3zsbnzp7nu4z.jpeg,,,,,,,,,,,v1,2023,736,Fiction,1 piece of A little Life book,1447294825,"ChatGPT
Hanya Yanagihara is a contemporary American author known for her powerful and emotionally intense storytelling. Born in Los Angeles to Japanese parents, she studied English and creative writing at Smith College. Yanagihara gained widespread acclaim for her second novel, ""A Little Life,"" which delves into the lives of four friends in New York City. The novel explores themes of trauma, friendship, and the complexities of human relationships. Yanagihara's writing style is often described as lyrical and immersive, drawing readers deeply into the lives of her characters. She is also the editor-in-chief of T Magazine, the New York Times Style Magazine.","Shortlisted for the 2015 Man Booker Prize 'Astonishing and unsettling ...A masterwork' San Francisco Chronicle 'Announces Yanagihara as a major American novelist' Wall Street Journal Brace yourself for the most astonishing, challenging, upsetting and profoundly moving book in many a season. An epic about love and friendship in the twenty-first century that goes into some of the darkest places fiction has ever traveled and yet somehow improbably breaks through into the light. When four graduates from a small Massachusetts college move to New York to make their way, they're broke, adrift, and buoyed only by their friendship and ambition. There is kind, handsome Willem, an aspiring actor; JB, a quick-witted, sometimes cruel Brooklyn-born painter seeking entry to the art world; Malcolm, a frustrated architect at a prominent firm; and withdrawn, brilliant, enigmatic Jude, who serves as their center of gravity. Over the decades, their relationships deepen and darken, tinged by addiction, success, and pride.Yet their greatest challenge, each comes to realize, is Jude himself, by midlife a terrifyingly talented litigator yet an increasingly broken man, his mind and body scarred by an unspeakable childhood, and haunted by what he fears is a degree of trauma that he'll not only be unable to overcome-but that will define his life forever. In a remarkable and precise prose, Yanagihara has fashioned a tragic and transcendent hymn to brotherly love, a masterful depiction of heartbreak, and a dark examination of the tyranny of memory and the limits of human endurance.",1,Fiction,Fiction Books
A Little Life And A Man Called Ove (2 Book Combo),9786815964072,A Little Life And A Man Called Ove (2 Book Combo),JMD BOOKS,JMD BOOKS,Paperback,English,Fiction Books,https://img.fkcdn.com/image/xif0q/regionalbooks/1/s/e/a-little-life-a-man-called-ove-original-imagr5rutpbghxfg.jpeg,,,,,,,,,,,,,,,,,,,,,Other Books
A Man Called Ove,9781444775815,A Man Called Ove,Backman Fredrik,Hodder & Stoughton,Paperback,English,General Fiction Books,https://img.fkcdn.com/image/xif0q/book/v/7/0/a-man-called-ove-original-imah7h2yeq6znsad.jpeg,https://img.fkcdn.com/image/xif0q/book/5/r/x/a-man-called-ove-original-imah7h2ymhpkuf3t.jpeg,,,,,,,,,,A MAN CALLED OVE,,320,Fiction,,9781444775815,,"The million-copy bestselling phenomenon: a funny, moving, uplifting tale of love and community that will leave you with a spring in your step. 'Warm, funny, and almost unbearably moving' Daily Mail 'Delightful . . . the perfect holiday read' Evening Standard Ove is almost certainly the grumpiest man you will ever meet. He thinks himself surrounded by idiots - joggers, neighbours who can't reverse a trailer properly and shop assistants who talk in code. But isn't it rare, these days, to find such old-fashioned clarity of belief and deed? Such unswerving conviction about what the world should be, and a lifelong dedication to making it just so? In the end, you will see, there is something about Ove that is quite irresistible . . . 'Hilarious and heart-breaking' Stylist 'Rescued all those men who constantly mean to read novels but never get round to it' Spectator Books of the Year NOW A MAJOR FILM STARRING TOM HANKS",1,Fiction,Fiction Books
AGNIPANKH  ,9788174348807,AGNIPANKH,"A,P.J.ABDUL KALAM",RAJHANS,Paperback,Marathi,General Fiction Books,https://img.fkcdn.com/image/xif0q/book/k/5/c/agnipankh-original-imah3gz6gpyntmrb.jpeg,,,,,,,,,,,25,2016,179,,,8174341447,,,,,Fiction Books
"Wings Of Fire Marathi Edition  (Paperback, A. P. J. Abdul Kalam)",9788174346797,Agnipankh,unknown,Rajhansa Prakashan,Paperback,Marathi,Biographies and Autobiographies,https://img.fkcdn.com/image/xif0q/book/v/j/g/agnipankh-original-imahgggyvhkvjrhh.jpeg,https://img.fkcdn.com/image/xif0q/book/z/d/l/agnipankh-original-imahgggyfpuy5pvx.jpeg,,,,,,,,,,Marathi Edition,2014,270,Biography & Autobiography,,8174346791,,,,"Biography, Literature & Literary studies","Biographies, Memoirs and General Non-Fiction Books"
"Agnipankh  (Marathi, Paperback, Kalam A.P.J. Abdul)",9788174349071,Agnipankh,Kalam A.P.J. Abdul,Rajhansa Prakashan,Paperback,Marathi,Biographies and Autobiographies,https://img.fkcdn.com/image/book/0/7/1/agnipankh-original-imaehfhsygwkzzwe.jpeg,,,,,,,,,,,1,2013,179,Biography & Autobiography,,8174349073,,,,"Biography, Literature & Literary studies","Biographies, Memoirs and General Non-Fiction Books"
The Naturals 4 book box,9784593766499,ALL NATURALS SET 4 BOOK,JENNIFER  LYNN BARNES,SKYZONE EASYBUY,Paperback,English,Fiction Books,https://img.fkcdn.com/image/xif0q/book/0/q/v/all-naturals-set-4-book-original-imahdh9yryugaskd.jpeg,https://img.fkcdn.com/image/xif0q/book/q/r/z/a-naturals-noval-set-original-imahc8yecfvfpztx.jpeg,,,,,,,,,,1,2025,1100,BEST FICTION BOOKS,,,,,,,Other Books
Almond- Paperback,9780850838817,Almond,Won-pyung Sohn,Won-pyung Sohn,Paperback,English,Action and Adventure Books,https://img.fkcdn.com/image/xif0q/book/4/k/d/almond-original-imah8yv6tqmecxv9.jpeg,,,,,,,,,,,,,,,,,,,,,Other Books
"Almond- Paperback, English",9781634564168,"Almond A Noel, English",PyungWonSohn Lee,ROYABOOKS,Paperback,English,Romance Books,https://img.fkcdn.com/image/xif0q/book/6/g/e/almond-a-noel-english-original-imahezkzymu5ttdz.jpeg,,,,,,,,,,,v1,2021,272,,,,,"A BTS fan favorite! A WALL STREET JOURNAL STORIES THAT CAN TAKE YOU ANYWHERE PICK * ENTERTAINMENT WEEKLY'S STAY HOME AND READ PICK * SALON'S BEST AND BOLDEST * BUSTLE'S MOST ANTICIPATED The Emissary meets The Curious Incident of the Dog in the Nighttime in this poignant and triumphant story about how love, friendship, and persistence can change a life forever.This story is, in short, about a monster meeting another monster. One of the monsters is me.Yunjae was born with a brain condition called Alexithymia that makes it hard for him to feel emotions like fear or anger. He does not have friends—the two almond-shaped neurons located deep in his brain have seen to that—but his devoted mother and grandmother provide him with a safe and content life. Their little home above his mother’s used bookstore is decorated with colorful Post-it notes that remind him when to smile, when to say ""thank you,"" and when to laugh.Then on Christmas Eve—Yunjae’s sixteenth birthday—everything changes. A shocking act of random violence shatters his world, leaving him alone and on his own. Struggling to cope with his loss, Yunjae retreats into silent isolation, until troubled teenager Gon arrives at his school, and they develop a surprising bond.As Yunjae begins to open his life to new people—including a girl at school—something slowly changes inside him. And when Gon suddenly finds his life at risk, Yunjae will have the chance to step outside of every comfort zone he has created to perhaps become the hero he never thought he would be.Readers of Wonder by R.J. Palaccio and Ginny Moon by Benjamin Ludwig will appreciate this ""resonant"" story that ""gives Yunjae the courage to claim an entirely different story."" (Booklist, starred review)Translated from the Korean by Sandy Joosun Lee.",,,Other Books
Almond Novel English,9781634564458,"Almond A Noel, English",PyungWonSohn Lee,STRIBE,Paperback,English,Romance Books,https://img.fkcdn.com/image/xif0q/book/6/g/e/almond-a-noel-english-original-imahezkzymu5ttdz.jpeg,,,,,,,,,,,v1,2021,272,,,,,"A BTS fan favorite! A WALL STREET JOURNAL STORIES THAT CAN TAKE YOU ANYWHERE PICK * ENTERTAINMENT WEEKLY'S STAY HOME AND READ PICK * SALON'S BEST AND BOLDEST * BUSTLE'S MOST ANTICIPATED The Emissary meets The Curious Incident of the Dog in the Nighttime in this poignant and triumphant story about how love, friendship, and persistence can change a life forever.This story is, in short, about a monster meeting another monster. One of the monsters is me.Yunjae was born with a brain condition called Alexithymia that makes it hard for him to feel emotions like fear or anger. He does not have friends—the two almond-shaped neurons located deep in his brain have seen to that—but his devoted mother and grandmother provide him with a safe and content life. Their little home above his mother’s used bookstore is decorated with colorful Post-it notes that remind him when to smile, when to say ""thank you,"" and when to laugh.Then on Christmas Eve—Yunjae’s sixteenth birthday—everything changes. A shocking act of random violence shatters his world, leaving him alone and on his own. Struggling to cope with his loss, Yunjae retreats into silent isolation, until troubled teenager Gon arrives at his school, and they develop a surprising bond.As Yunjae begins to open his life to new people—including a girl at school—something slowly changes inside him. And when Gon suddenly finds his life at risk, Yunjae will have the chance to step outside of every comfort zone he has created to perhaps become the hero he never thought he would be.Readers of Wonder by R.J. Palaccio and Ginny Moon by Benjamin Ludwig will appreciate this ""resonant"" story that ""gives Yunjae the courage to claim an entirely different story."" (Booklist, starred review)Translated from the Korean by Sandy Joosun Lee.",,,Other Books
"Always Remember (English, Hardcover, Mackesy Charlie)",9781529108446,Always Remember,Mackesy Charlie,Ebury Publishing,Hardcover,English,Other Self-Help Books,https://img.fkcdn.com/image/xif0q/book/7/x/l/always-remember-original-imahgx6fpysbpur9.jpeg,,,,,,,,,,,,,128,Self-Help,,,,"#1 SUNDAY TIMES BESTSELLER ? #1 NEW YORK TIMES BESTSELLER 'One day you'll look back and realise how hard it was, and just how well you did' Charlie Mackesy's four unlikely friends are wandering through the wilds again. They're not sure what they are looking for. They do know that life can be difficult, but that they love each other, and cake is often the answer. When the dark clouds come, can the boy remember what he needs to get through the storm? The hugely anticipated new book from Charlie Mackesy, revisiting the much-loved world of The Boy, the Mole, the Fox and the Horse - the bestselling adult non-fiction book of all time, with over ten million readers around the world.",,"Health, Relationships & Personal development",Self-Help Books
"Apurvai (Marathi, Paperback)",9789389064070,Apurvai,P. L. Deshpande,Shrividya Prakashan,Paperback,Marathi,Language and Linguistic Books,https://img.fkcdn.com/image/jve4pe80/book/0/7/0/apurvai-original-imafgbh8czxjumwq.jpeg,https://img.fkcdn.com/image/jvfk58w0/book/1/0/0/golaberij-original-imafgbh7vhaszg7p.jpeg,,,,,,,,,,Thirtysixth,2019,,Book,,9389064074,,,,,"Arts, Language and Linguistic Books"
"Art of Living  (English, Paperback, Epictetus Sharon)",9780061286056,Art of Living,Epictetus Sharon,HarperCollins Publishers Inc,Paperback,English,Popular Psychology Books,https://img.fkcdn.com/image/l4yi7bk0/book/o/b/x/art-of-living-original-imagfqy6qqbdnf44.jpeg,https://img.fkcdn.com/image/kjd6nww0-0/book/q/i/6/art-of-living-original-imafyxqze5sdztyb.jpeg,https://img.fkcdn.com/image/kjd6nww0-0/book/n/o/6/art-of-living-original-imafyxqzk5w6sgkh.jpeg,https://img.fkcdn.com/image/kjd6nww0-0/book/g/y/i/art-of-living-original-imafyxqzzt9vwvyy.jpeg,,,,,,,,,,144,Self-Help,,0061286052,,"""An immense dose of Epictetus would do us all a great deal of good, and I am grateful (beyond irony) to Tom Wolfe for reviving Epictetus"" - Harold Bloom. So what makes the writings of this former slave so powerful today? Epictetus observed that although everyday life is fraught with difficulty, a life of virtue is within reach. He dedicated his life to outlining the simple way to happiness, fulfillment, and tranquility. By putting into practice the 93 witty, wise, and razor-sharp instructions that make up ""The Art of Living"", readers learn to gracefully meet the challenges of everyday life as well as life's inevitable major losses and disappointments.",,"Health, Relationships & Personal development",Self-Help Books
Attitude Is Everything ,9789356296565,Attitude Is Everything,Keller Jeff,HarperCollins Publishers India,Paperback,English,Other Self-Help Books,https://img.fkcdn.com/image/xif0q/book/n/0/t/attitude-is-everything-original-imahgztdpuxqg6ux.jpeg,https://img.fkcdn.com/image/xif0q/book/w/1/a/attitude-is-everything-original-imahgkngnnssktb5.jpeg,,,,,,,,,,new,2019,140,Self-Help,,9356296561,"Jeff Keller, President of Attitude is Everything, Inc., works with organizations that want to develop achievers and with people who want to reach their full potential. Jeff is the author of the best-selling book, Attitude Is Everything.","Limited Hardback Edition IF YOU CAN DREAM IT, YOU CAN DO IT! Do you dread going to work? Do you feel tired, unhappy, weighed down? Have you given up on your dreams? The road to a happier, more successful life starts with your attitude--and your attitude is within your control.Whether your outlook is negative, positive or somewhere in between, Jeff Keller, motivational speaker and coach, will show you how to take control and unleash your hidden potential through three powerful steps:--THINK! Success begins in the mind. The power of attitude can change your destiny.--SPEAK! Watch your words. How you speak can propel you towards your goals.--ACT! Don't sit back. Take active steps to turn your dreams into reality.Soon, you will be energized and see new possibilities. You will be able to counter adversities and develop talents unique to you. Your relationships will improve, both at work and in your personal life. All you need is this step-by-step programme to change your attitude and your life!",,"Health, Relationships & Personal development",Self-Help Books
Audumbaravat Marathi Book,9788194862130,Audumbaravat | Eka Shoor Yoddhyachi Vilupt Kahani | Marathi,Prem Dhande,Shivsamartha Seva Prakashan,Paperback,Marathi,Historical Fiction Books,https://img.fkcdn.com/image/xif0q/book/3/z/t/audumbaravat-eka-shoor-yoddhyachi-vilupt-kahani-marathi-original-imah2d7yyeyfmca3.jpeg,https://img.fkcdn.com/image/xif0q/book/4/e/r/audumbaravat-eka-shoor-yoddhyachi-vilupt-kahani-marathi-original-imah2d7yrjxpnhyb.jpeg,,,,,,,,,,1,2024,196,Historic Fiction,,,,,,,Other Books
Babel  (Paperback),9781634559287,Babel,R KuangF,ROYABOOKS,Paperback,English,Fantasy and Science Fiction Books,https://img.fkcdn.com/image/xif0q/book/n/h/w/babel-original-imahacy8xunhffvz.jpeg,https://img.fkcdn.com/image/xif0q/book/p/8/6/babel-original-imahacy8yrkvsn56.jpeg,,,,,,,,,,v1,2024,560,,,,,"Traduttore, traditore: An act of translation is always an act of betrayal.Oxford, 1836.The city of dreaming spires.It is the centre of all knowledge and progress in the world.And at its centre is Babel, the Royal Institute of Translation. The tower from which all the power of the Empire flows.Orphaned in Canton and brought to England by a mysterious guardian, Babel seemed like paradise to Robin Swift.Until it became a prison…But can a student stand against an empire?An incendiary new novel from award-winning author R.F. Kuang about the power of language, the violence of colonialism, and the sacrifices of resistance.'A masterpiece that resonates with power and knowledge. BABEL is a stark picture of the cruelty of empire, a distillation of dark academia, and a riveting blend of fantasy and historical fiction – a monumental achievement’",,,Other Books
"Babel  (English, Paperback, Kuang R.F.)",9780008501853,Babel,Kuang R.F.,HarperCollins Publishers,Paperback,English,General Fiction Books,https://img.fkcdn.com/image/xif0q/book/h/i/g/buy-babel-the-sunday-times-and-1-new-york-times-bestseller-book-original-imah5wzvtkb5y7gy.jpeg,,,,,,,,,,,,2024,560,Fiction,,,"Rebecca F. Kuang is the #1 New York Times bestselling and Hugo, Nebula, Locus, and World Fantasy Award nominated author of Babel, the Poppy War trilogy, and the forthcoming Yellowface. She is a Marshall Scholar, translator, and has an MPhil in Chinese Studies from Cambridge and an MSc in Contemporary Chinese Studies from Oxford. She is now pursuing a PhD in East Asian Languages and Literatures at Yale.","THE #2 SUNDAY TIMES AND #1 NYT BESTSELLER 'One for Philip Pullman fans' THE TIMES 'This one is an automatic buy' GLAMOUR 'Ambitious, sweeping and epic' EVENING STANDARD 'Razor-sharp' DAILY MAIL 'An ingenious fantasy about empire' GUARDIAN 'Literary super-stardom doesn't seem too far out of her reach now' THE HERALD Traduttore, traditore: An act of translation is always an act of betrayal. Oxford, 1836. The city of dreaming spires. It is the centre of all knowledge and progress in the world. And at its centre is Babel, the Royal Institute of Translation. The tower from which all the power of the Empire flows. Orphaned in Canton and brought to England by a mysterious guardian, Babel seemed like paradise to Robin Swift. Until it became a prison... But can a student stand against an empire? An incendiary new novel from award-winning author R.F. Kuang about the power of language, the violence of colonialism, and the sacrifices of resistance. 'A masterpiece that resonates with power and knowledge. BABEL is a stark picture of the cruelty of empire, a distillation of dark academia, and a riveting blend of fantasy and historical fiction - a monumental achievement' Samantha Shannon, author of THE PRIORY OF THE ORANGE TREE R.F. Kuang's book 'Babel' was a New York Times bestseller w/c 11-09-2022.",,Fiction,Fiction Books
Babel,9780008501822,Babel,Kuang R.F.,HarperCollins Publishers,Paperback,English,General Fiction Books,https://img.fkcdn.com/image/xif0q/book/y/c/r/babel-original-imah9axzhfvzkteh.jpeg,,,,,,,,,,,First,,560,Fiction,,,,"THE #2 SUNDAY TIMES AND #1 NYT BESTSELLER 'One for Philip Pullman fans' THE TIMES 'This one is an automatic buy' GLAMOUR 'Ambitious, sweeping and epic' EVENING STANDARD 'Razor-sharp' DAILY MAIL 'An ingenious fantasy about empire' GUARDIAN Traduttore, traditore: An act of translation is always an act of betrayal. Oxford, 1836. The city of dreaming spires. It is the centre of all knowledge and progress in the world. And at its centre is Babel, the Royal Institute of Translation. The tower from which all the power of the Empire flows. Orphaned in Canton and brought to England by a mysterious guardian, Babel seemed like paradise to Robin Swift. Until it became a prison... But can a student stand against an empire? An incendiary new novel from award-winning author R.F. Kuang about the power of language, the violence of colonialism, and the sacrifices of resistance. 'A masterpiece that resonates with power and knowledge. BABEL is a stark picture of the cruelty of empire, a distillation of dark academia, and a riveting blend of fantasy and historical fiction - a monumental achievement' Samantha Shannon, author of THE PRIORY OF THE ORANGE TREE R.F. Kuang's book 'Babel' was a New York Times bestseller w/c 11-09-2022.",1,Fiction,Fiction Books
Babel Book,9788804769880,Babel Book,Kuang R.F.,HarperCollin,Paperback,English,Fiction Books,https://img.fkcdn.com/image/xif0q/book/u/y/s/babel-book-original-imahyw3nttjqhkgz.jpeg,,,,,,,,,,,,,,,,,,,,,Other Books
"Babel (English, Paperback)",9781634560320,"Babel, English",R KuangF,MLBOOKS,Paperback,English,Fantasy and Science Fiction Books,https://img.fkcdn.com/image/xif0q/book/o/g/d/babel-english-original-imahc5hgvzg3yeaa.jpeg,https://img.fkcdn.com/image/xif0q/book/x/2/e/babel-english-original-imahc5hgvrwqvzcw.jpeg,,,,,,,,,,v1,2024,560,,,,,"Traduttore, traditore: An act of translation is always an act of betrayal.Oxford, 1836.The city of dreaming spires.It is the centre of all knowledge and progress in the world.And at its centre is Babel, the Royal Institute of Translation. The tower from which all the power of the Empire flows.Orphaned in Canton and brought to England by a mysterious guardian, Babel seemed like paradise to Robin Swift.Until it became a prison…But can a student stand against an empire?An incendiary new novel from award-winning author R.F. Kuang about the power of language, the violence of colonialism, and the sacrifices of resistance.'A masterpiece that resonates with power and knowledge. BABEL is a stark picture of the cruelty of empire, a distillation of dark academia, and a riveting blend of fantasy and historical fiction – a monumental achievement’",,,Other Books
"Babel (Paperback, R. F. Kuang)",9780745529707,"Babel, or the Necessity of Violence",R. F. Kuang,JMD Books,Paperback,English,Career Advice Books,https://img.fkcdn.com/image/xif0q/book/u/y/s/babel-book-original-imahyw3nttjqhkgz.jpeg,,,,,,,,,,,,,,,,,,,,,Other Books
Behave : The Biology of Humans at Our Best and Worst,9781529116083,Behave : The Biology of Humans at Our Best and Worst,Robert M. Sapolsky,om,Paperback,English,"Body, Mind and Spirit Books",https://img.fkcdn.com/image/xif0q/book/1/u/g/behave-the-biology-of-humans-at-our-best-and-worst-original-imahefghmrb359pn.jpeg,,,,,,,,,,,,,,,,,,,,,Other Books
"Beloved  (Paperback, Toni Morrison)",9785537065371,Beloved,Toni Morrison,Toni Morrison (,Paperback,English,Fiction Books,https://img.fkcdn.com/image/xif0q/book/i/g/f/beloved-paperback-1-january-1999-original-imah3z7bcmnwaemv.jpeg,,,,,,,,,,,,,,,,,,,,,Other Books
Beloved ,9787125179491,"Beloved (English, paperback, Morrison toni)",Morrison toni,Monyhigh,Paperback,English,Fiction Books,https://img.fkcdn.com/image/xif0q/book/a/b/k/beloved-english-paperback-morrison-toni-original-imahbv4djfgdvx4h.jpeg,,,,,,,,,,,First,,352,Historical Fiction::Novel,,,,"A beautiful hardback edition of the Pulitzer-prize winning novel, from the great Toni Morrison.

Sethe is now miles away from Sweet Home - the farm where she was kept as a slave for many years. Unable to forget the unspeakable horrors that took place there, Sethe is haunted by the violent spectre of her dead child, the daughter who died nameless and whose tombstone is etched with a single word, 'Beloved'.

A tale of brutality, horror and, above all, love at any cost, Beloved is Toni Morrison's enduring masterpiece and best-known work.

'An American masterpiece' A. S. Byatt

'Toni Morrison was a giant of her times and ours... Beloved is a heartbreaking testimony to the ongoing ravages of slavery, and should be read by all' Margaret Atwood, New York Times

**One of the BBC's 100 Novels That Shaped Our World**

VINTAGE QUARTERBOUND CLASSICS: Bound to be beautiful",1,,Fiction Books
Berserk Manga Box Set (Volume: 1-11) ,9788491674559,Berserk Manga Box Set (Volume: 1-11),Miura Kentaro,"Dark Horse Comics,U.S.",Paperback,English,Manga,https://img.fkcdn.com/image/xif0q/book/z/i/a/berserk-manga-box-set-volume-1-11-original-imah6pnc5mfass75.jpeg,https://img.fkcdn.com/image/xif0q/book/s/q/0/berserk-manga-box-set-volume-1-11-original-imah6pncrbryupgp.jpeg,https://img.fkcdn.com/image/xif0q/book/2/o/o/berserk-manga-box-set-volume-1-11-original-imah6pnc3kuewx9v.jpeg,,,,,,,,,,,,,,,,,,,Other Books
